amplitude_induced;modulation_induced;subjects;alpha_pos;validity;pos_attended;validity_pos_attended;targ_pos;alpha_pos_targ;alpha_electrodes;time
3.97041511535645;-2.71777107698247;2;alpha_contra_left_stim;invalid;left;invalid_left;right;contra_target;'P6','P8','P10','PO4','PO8','O2','I2';[2000 3000] 
5.21701812744141;-1.21780345386651;2;alpha_contra_right_stim;invalid;left;invalid_left;right;ipsi_target;'P9','P7','P5','PO7','PO3','I1','O1';[2000 3000] 
4.15974378585815;0;2;alpha_contra_left_stim;neutral;both;neutral_both;left;contra_target;'P6','P8','P10','PO4','PO8','O2','I2';[-1000 0] 
5.28012084960938;0;2;alpha_contra_right_stim;neutral;both;neutral_both;left;ipsi_target;'P9','P7','P5','PO7','PO3','I1','O1';[-1000 0] 
4.11462306976318;-1.08469940500584;2;alpha_contra_left_stim;neutral;both;neutral_both;left;contra_target;'P6','P8','P10','PO4','PO8','O2','I2';[0 1000] 
5.11528253555298;-3.12186631237031;2;alpha_contra_right_stim;neutral;both;neutral_both;left;ipsi_target;'P9','P7','P5','PO7','PO3','I1','O1';[0 1000] 
4.12926912307739;-0.732609130503814;2;alpha_contra_left_stim;neutral;both;neutral_both;left;contra_target;'P6','P8','P10','PO4','PO8','O2','I2';[500 1500] 
5.24422693252563;-0.679793476439006;2;alpha_contra_right_stim;neutral;both;neutral_both;left;ipsi_target;'P9','P7','P5','PO7','PO3','I1','O1';[500 1500] 
3.99259495735168;-4.01824816890705;2;alpha_contra_left_stim;neutral;both;neutral_both;left;contra_target;'P6','P8','P10','PO4','PO8','O2','I2';[1000 2000] 
5.09568119049072;-3.4930954114866;2;alpha_contra_right_stim;neutral;both;neutral_both;left;ipsi_target;'P9','P7','P5','PO7','PO3','I1','O1';[1000 2000] 
4.24016427993774;1.93330402591128;2;alpha_contra_left_stim;neutral;both;neutral_both;left;contra_target;'P6','P8','P10','PO4','PO8','O2','I2';[1500 2500] 
5.38246583938599;1.93830771475965;2;alpha_contra_right_stim;neutral;both;neutral_both;left;ipsi_target;'P9','P7','P5','PO7','PO3','I1','O1';[1500 2500] 
4.22972726821899;1.68239886790051;2;alpha_contra_left_stim;neutral;both;neutral_both;left;contra_target;'P6','P8','P10','PO4','PO8','O2','I2';[2000 3000] 
5.36523151397705;1.61190750726798;2;alpha_contra_right_stim;neutral;both;neutral_both;left;ipsi_target;'P9','P7','P5','PO7','PO3','I1','O1';[2000 3000] 
3.89829301834106;0;2;alpha_contra_left_stim;neutral;both;neutral_both;right;contra_target;'P6','P8','P10','PO4','PO8','O2','I2';[-1000 0] 
5.09905624389648;0;2;alpha_contra_right_stim;neutral;both;neutral_both;right;ipsi_target;'P9','P7','P5','PO7','PO3','I1','O1';[-1000 0] 
4.22790718078613;8.45534599103424;2;alpha_contra_left_stim;neutral;both;neutral_both;right;contra_target;'P6','P8','P10','PO4','PO8','O2','I2';[0 1000] 
5.4127049446106;6.15111278855858;2;alpha_contra_right_stim;neutral;both;neutral_both;right;ipsi_target;'P9','P7','P5','PO7','PO3','I1','O1';[0 1000] 
4.24220514297485;8.82212093897812;2;alpha_contra_left_stim;neutral;both;neutral_both;right;contra_target;'P6','P8','P10','PO4','PO8','O2','I2';[500 1500] 
5.00925922393799;-1.76105176454922;2;alpha_contra_right_stim;neutral;both;neutral_both;right;ipsi_target;'P9','P7','P5','PO7','PO3','I1','O1';[500 1500] 
4.19108247756958;7.51070937589791;2;alpha_contra_left_stim;neutral;both;neutral_both;right;contra_target;'P6','P8','P10','PO4','PO8','O2','I2';[1000 2000] 
5.13572645187378;0.719156765944451;2;alpha_contra_right_stim;neutral;both;neutral_both;right;ipsi_target;'P9','P7','P5','PO7','PO3','I1','O1';[1000 2000] 
4.0012149810791;2.64018025976498;2;alpha_contra_left_stim;neutral;both;neutral_both;right;contra_target;'P6','P8','P10','PO4','PO8','O2','I2';[1500 2500] 
5.17617177963257;1.51234918870311;2;alpha_contra_right_stim;neutral;both;neutral_both;right;ipsi_target;'P9','P7','P5','PO7','PO3','I1','O1';[1500 2500] 
4.24179553985596;8.81161369601384;2;alpha_contra_left_stim;neutral;both;neutral_both;right;contra_target;'P6','P8','P10','PO4','PO8','O2','I2';[2000 3000] 
5.13897943496704;0.782952553589578;2;alpha_contra_right_stim;neutral;both;neutral_both;right;ipsi_target;'P9','P7','P5','PO7','PO3','I1','O1';[2000 3000] 
6.10225677490234;0;3;alpha_contra_left_stim;valid;left;valid_left;left;contra_target;'P6','P8','P10','PO4','PO8','O2','I2';[-1000 0] 
5.73515605926514;0;3;alpha_contra_right_stim;valid;left;valid_left;left;ipsi_target;'P9','P7','P5','PO7','PO3','I1','O1';[-1000 0] 
6.03615093231201;-1.08330155594591;3;alpha_contra_left_stim;valid;left;valid_left;left;contra_target;'P6','P8','P10','PO4','PO8','O2','I2';[0 1000] 
5.46334743499756;-4.73934137901045;3;alpha_contra_right_stim;valid;left;valid_left;left;ipsi_target;'P9','P7','P5','PO7','PO3','I1','O1';[0 1000] 
